id,Geographic Area Name,Labor Force Participation Rate
0500000US30013,"Cascade County, Montana",62.1
0500000US32003,"Clark County, Nevada",63.9
0500000US36007,"Broome County, New York",58.4
0500000US36027,"Dutchess County, New York",61.7
0500000US37023,"Burke County, North Carolina",58.6
0500000US37035,"Catawba County, North Carolina",63.8
0500000US37125,"Moore County, North Carolina",57.7
0500000US39009,"Athens County, Ohio",55.6
0500000US39023,"Clark County, Ohio",60.3
0500000US39099,"Mahoning County, Ohio",61.1
0500000US45051,"Horry County, South Carolina",54.9
0500000US47093,"Knox County, Tennessee",64.5
0500000US51061,"Fauquier County, Virginia",68.0
0500000US72127,"San Juan Municipio, Puerto Rico",53.6
0500000US01069,"Houston County, Alabama",57.4
0500000US06083,"Santa Barbara County, California",63.0
0500000US10003,"New Castle County, Delaware",65.4
0500000US12113,"Santa Rosa County, Florida",59.2
0500000US13295,"Walker County, Georgia",56.7
0500000US20091,"Johnson County, Kansas",71.5
0500000US25017,"Middlesex County, Massachusetts",69.7
0500000US25025,"Suffolk County, Massachusetts",68.9
0500000US26055,"Grand Traverse County, Michigan",64.8
0500000US27137,"St. Louis County, Minnesota",62.0
0500000US31153,"Sarpy County, Nebraska",72.1
0500000US33011,"Hillsborough County, New Hampshire",70.0
0500000US34017,"Hudson County, New Jersey",70.1
0500000US37025,"Cabarrus County, North Carolina",67.3
0500000US38015,"Burleigh County, North Dakota",70.9
0500000US39085,"Lake County, Ohio",65.2
0500000US39153,"Summit County, Ohio",64.9
0500000US40037,"Creek County, Oklahoma",57.0
0500000US41039,"Lane County, Oregon",59.5
0500000US42001,"Adams County, Pennsylvania",62.2
0500000US42041,"Cumberland County, Pennsylvania",66.1
0500000US47065,"Hamilton County, Tennessee",63.5
0500000US47179,"Washington County, Tennessee",57.2
0500000US49005,"Cache County, Utah",70.0
0500000US53015,"Cowlitz County, Washington",58.7
0500000US54081,"Raleigh County, West Virginia",49.1
0500000US72013,"Arecibo Municipio, Puerto Rico",41.3
0500000US01103,"Morgan County, Alabama",58.2
0500000US06031,"Kings County, California",53.2
0500000US06089,"Shasta County, California",52.4
0500000US12073,"Leon County, Florida",65.0
0500000US12103,"Pinellas County, Florida",58.6
0500000US17093,"Kendall County, Illinois",71.7
0500000US26017,"Bay County, Michigan",58.3
0500000US26159,"Van Buren County, Michigan",61.7
0500000US32031,"Washoe County, Nevada",66.9
0500000US33013,"Merrimack County, New Hampshire",67.1
0500000US39045,"Fairfield County, Ohio",61.4
0500000US45041,"Florence County, South Carolina",59.5
0500000US48005,"Angelina County, Texas",55.5
0500000US53057,"Skagit County, Washington",60.5
0500000US53067,"Thurston County, Washington",61.5
0500000US54039,"Kanawha County, West Virginia",53.7
0500000US55025,"Dane County, Wisconsin",71.6
0500000US01097,"Mobile County, Alabama",55.5
0500000US06013,"Contra Costa County, California",65.8
0500000US12083,"Marion County, Florida",46.3
0500000US12091,"Okaloosa County, Florida",62.7
0500000US12117,"Seminole County, Florida",67.4
0500000US13073,"Columbia County, Georgia",64.3
