id,Geographic Area Name,5 to 14 years,15 to 17 years,Under 18 years,18 to 24 years,15 to 44 years,16 years and over,18 years and over,21 years and over,60 years and over,62 years and over,65 years and over,75 years and over
0500000US41059,"Umatilla County, Oregon",11671,3159,19889,6901,30389,59867,57627,54189,16703,13813,11922,4920
0500000US42045,"Delaware County, Pennsylvania",68812,21755,123763,55610,219730,454702,440988,414706,128930,113729,92451,40892
0500000US42073,"Lawrence County, Pennsylvania",9161,3273,16795,6871,29069,71732,69389,66196,26361,22805,18978,8534
0500000US47157,"Shelby County, Tennessee",130201,38005,233189,86460,380295,729488,702575,666905,191123,165423,127036,48598
0500000US04003,"Cochise County, Arizona",15626,4518,27247,10955,44869,102489,99523,93010,38672,34210,28402,12272
0500000US04005,"Coconino County, Arizona",17294,4888,29455,29016,69046,116671,113399,97108,25698,22956,17813,6652
0500000US06023,"Humboldt County, California",14910,3890,26135,17611,57658,112359,110238,102269,35287,30861,24296,9069
0500000US06039,"Madera County, California",24615,6723,43123,15148,63858,119395,114549,107163,30154,27048,22099,8586
0500000US12097,"Osceola County, Florida",50787,15847,89970,35472,156979,288757,278020,262877,69040,58414,48427,18351
0500000US13059,"Clarke County, Georgia",11753,3177,21439,35036,72562,108297,105891,89333,20634,18683,15023,5756
0500000US13313,"Whitfield County, Georgia",14733,5835,27387,9580,42368,80621,76675,72076,20054,17912,14588,5774
0500000US16019,"Bonneville County, Idaho",21056,5812,36116,9521,46217,84177,80738,76928,20981,18536,15046,6139
0500000US22109,"Terrebonne Parish, Louisiana",17355,3941,28293,9583,43110,85510,82728,80026,23036,20401,16642,6152
0500000US24015,"Cecil County, Maryland",13217,4231,23118,8862,37579,82700,79708,76399,24987,21866,16204,5949
0500000US24037,"St. Mary's County, Maryland",16241,5132,27201,12215,45071,88694,85463,79732,21778,18702,15006,6310
0500000US25001,"Barnstable County, Massachusetts",18868,6517,32580,14237,58834,185817,180833,175153,84127,77074,65453,28131
0500000US25021,"Norfolk County, Massachusetts",82250,27578,147526,61664,269163,576828,557862,533525,165458,146246,118958,52775
0500000US27163,"Washington County, Minnesota",36480,11569,63648,18920,97265,203198,195553,187296,54325,48279,38724,15335
0500000US34033,"Salem County, New Jersey",8167,2358,13607,4575,22049,50712,49000,47495,16661,14388,11735,4976
0500000US34035,"Somerset County, New Jersey",41910,13717,72516,27336,122102,266674,258648,246825,76048,66837,51619,23081
0500000US36081,"Queens County, New York",246200,71143,458368,173996,924719,1869987,1820538,1750152,499303,435146,357630,156055
0500000US36119,"Westchester County, New York",119069,39039,211845,85197,358616,783313,755767,718592,228317,200656,165337,77004
0500000US37109,"Lincoln County, North Carolina",9993,3686,17649,5535,28289,68773,66121,63221,19646,17293,14281,5378
0500000US42003,"Allegheny County, Pennsylvania",124931,38791,227749,107418,477023,1015769,990703,945318,320662,282762,229919,102570
0500000US45035,"Dorchester County, South Carolina",22726,6926,39214,13902,64901,126542,121433,114225,31436,26993,22439,8290
0500000US48231,"Hunt County, Texas",13021,3807,23048,10341,37082,75537,73445,67725,22077,19461,14784,6028
0500000US51650,"Hampton city, Virginia",14598,4601,27543,16655,56858,109757,106770,99435,28622,24932,20695,8605
0500000US01077,"Lauderdale County, Alabama",9916,3040,17876,10108,34565,76012,74511,69546,24132,22017,18419,8059
0500000US09011,"New London County, Connecticut",29422,9559,51733,25541,99689,221413,215051,204989,68253,59891,48314,20963
0500000US17167,"Sangamon County, Illinois",24631,7851,43207,16147,72506,157686,152141,145882,48685,43701,34683,14309
0500000US21111,"Jefferson County, Kentucky",94340,28161,170794,65597,304016,619256,599723,571122,175637,153452,124421,51339
0500000US21151,"Madison County, Kentucky",10561,2996,18481,16286,42241,75534,73887,66852,17701,15599,12719,4969
0500000US22015,"Bossier Parish, Louisiana",18673,4833,31590,12217,53959,99147,95595,90672,24787,22222,17634,7036
0500000US24009,"Calvert County, Maryland",12373,4299,21300,7090,33355,73713,70703,68542,19606,17160,13475,5128
0500000US26025,"Calhoun County, Michigan",17812,4816,30702,11555,48519,106995,103785,97512,33975,28945,24047,10515
0500000US34025,"Monmouth County, New Jersey",75074,25755,131726,51557,216086,507630,489628,468674,155312,135313,109200,46476
0500000US37119,"Mecklenburg County, North Carolina",142876,42147,257714,99275,487847,863355,836187,795715,179491,155387,122591,46451
0500000US39055,"Geauga County, Ohio",11985,4322,21318,8068,30120,75700,72713,69158,26680,23307,19507,8414
0500000US39119,"Muskingum County, Ohio",10897,3521,19683,7177,31069,69228,66500,63189,21919,18550,15189,6522
0500000US41043,"Linn County, Oregon",15447,5036,27940,10262,47779,102520,99395,94786,32079,29575,24586,9953
0500000US42017,"Bucks County, Pennsylvania",72646,24832,128214,50326,218393,516676,499981,479713,162101,144104,117060,50363
0500000US42095,"Northampton County, Pennsylvania",34988,11605,60924,31187,112541,251462,243883,228353,76871,69254,57663,25957
0500000US45075,"Orangeburg County, South Carolina",10901,3204,18752,8839,32234,69585,68182,62444,22804,20137,16866,6803
0500000US48029,"Bexar County, Texas",282236,83916,508269,205618,874420,1534680,1477780,1387422,340969,297466,240452,96350
0500000US48091,"Comal County, Texas",18860,6145,33673,11808,53480,119542,114700,108914,38636,33415,26442,9671
0500000US48361,"Orange County, Texas",10679,3816,20803,7340,31675,65739,62769,59994,19473,16703,13333,5715
0500000US48497,"Wise County, Texas",9454,3007,16842,6062,25353,53681,51463,47743,14871,13314,10070,3894
0500000US53009,"Clallam County, Washington",7639,2106,13075,4855,22817,65156,63662,61222,28540,26223,22161,9263
0500000US72021,"Bayamón Municipio, Puerto Rico",16963,6018,29655,16151,65375,145301,140825,133348,47765,43714,37518,18986
0500000US72137,"Toa Baja Municipio, Puerto Rico",8157,2868,14009,7148,29493,62985,60614,57359,19142,17405,14723,6531
0500000US04025,"Yavapai County, Arizona",20930,6690,37293,16125,61880,198754,194700,185876,95141,87115,73656,29825
0500000US13097,"Douglas County, Georgia",21469,7103,37435,14015,59595,112848,107896,100338,25119,21693,17286,6140
0500000US13135,"Gwinnett County, Georgia",142474,45233,248878,84403,386024,710142,678903,638868,143352,120768,93705,33140
0500000US15007,"Kauai County, Hawaii",8554,2621,15680,4693,25048,58085,56453,53913,20975,18185,14709,5823
0500000US16027,"Canyon County, Idaho",35595,10792,62419,21430,90154,168155,161080,150860,43574,39335,31930,12808
0500000US18019,"Clark County, Indiana",15401,4218,26544,8515,46251,93457,90816,86908,26825,22881,18361,6927
0500000US19013,"Black Hawk County, Iowa",15922,4618,28788,19463,57157,106931,103620,93332,29365,26658,21218,9187
0500000US21015,"Boone County, Kentucky",18393,6227,33654,10673,52367,101655,97879,92792,24630,21440,17363,6585
0500000US22051,"Jefferson Parish, Louisiana",52039,14930,95532,32422,164433,348359,338519,324846,104642,90999,74241,30573
