id,Geographic Area Name,5 to 14 years,15 to 17 years,Under 18 years,18 to 24 years,15 to 44 years,16 years and over,18 years and over,21 years and over,60 years and over,62 years and over,65 years and over,75 years and over
0500000US18039,"Elkhart County, Indiana",15691,4857,27946,8774,38456,79901,76182,72599,23300,20977,17010,7799
0500000US18109,"Morgan County, Indiana",4264,1575,7659,2545,12038,28319,27486,26715,8515,7680,6392,2615
0500000US19049,"Dallas County, Iowa",7303,2100,12591,2840,19471,35102,33457,32788,7851,7274,6144,2666
0500000US23011,"Kennebec County, Maine",6665,2015,11538,4798,21037,52899,51288,49164,18709,16778,13717,6005
0500000US26049,"Genesee County, Michigan",24969,8068,44768,17182,75259,171318,166156,158515,55563,48867,40133,17994
0500000US26087,"Lapeer County, Michigan",4749,1895,8689,3228,14187,35784,34557,33301,12287,10613,8303,3337
0500000US26145,"Saginaw County, Michigan",10996,3462,19394,8921,34795,80472,78013,73426,27021,25260,20526,9305
0500000US30013,"Cascade County, Montana",4522,1369,8292,3491,15034,32446,31721,30541,11224,9936,7917,3720
0500000US32003,"Clark County, Nevada",143152,41814,253579,89986,450134,892472,865450,827295,241047,215615,175730,69225
0500000US36007,"Broome County, New York",10391,3139,18340,12466,36717,82704,80169,74153,28181,24701,21113,10550
0500000US36027,"Dutchess County, New York",15044,5465,27109,16256,54374,123793,120453,113363,39335,34418,28446,13195
0500000US37023,"Burke County, North Carolina",4738,1467,8061,3046,15820,38287,37306,35854,13700,12138,10019,4816
0500000US37035,"Catawba County, North Carolina",10363,3205,17986,5990,28676,66005,64055,60339,21073,19162,15798,6826
0500000US37125,"Moore County, North Carolina",5284,1827,9683,2711,15539,42081,40849,39306,16813,16009,13136,6085
0500000US39009,"Athens County, Ohio",2474,434,4121,9306,16780,28636,28378,22555,6493,6062,4828,2085
0500000US39023,"Clark County, Ohio",8127,2557,14684,6406,24824,56525,54887,51451,19186,17398,14543,6512
0500000US39099,"Mahoning County, Ohio",11636,4594,22137,9792,39149,97962,94278,89801,36585,33178,27225,13395
0500000US45051,"Horry County, South Carolina",16924,4880,29280,14060,58322,151117,148185,142128,60880,54016,43895,15436
0500000US47093,"Knox County, Tennessee",27184,7816,48092,27126,97272,197223,191933,180646,55596,50063,41493,17869
0500000US51061,"Fauquier County, Virginia",5018,1322,8268,2236,12464,29064,27893,27112,9229,8020,6481,2995
0500000US72127,"San Juan Municipio, Puerto Rico",15564,5769,27760,15859,62663,149592,146520,139891,55776,50212,43811,22559
0500000US01069,"Houston County, Alabama",6302,2205,11541,4212,20175,44069,42781,40972,14448,12988,10715,4666
0500000US06083,"Santa Barbara County, California",27749,7713,48751,34496,94849,179403,174368,156427,49742,44563,37669,17802
0500000US10003,"New Castle County, Delaware",33247,10330,59376,26125,111828,235936,228843,216299,68452,61476,49273,21319
0500000US12113,"Santa Rosa County, Florida",10425,3080,18530,6807,32119,71164,68971,66806,22679,18562,15028,5836
0500000US13295,"Walker County, Georgia",3722,1283,6791,2601,12287,28602,27652,26697,9770,8811,7248,3428
0500000US20091,"Johnson County, Kansas",40354,12497,70771,23456,118365,240720,232700,225005,67736,59759,48305,20072
0500000US25017,"Middlesex County, Massachusetts",86394,27385,155690,80087,338395,687158,668687,636776,191211,170652,139569,64364
0500000US25025,"Suffolk County, Massachusetts",34697,10641,65958,57930,216151,357799,350832,323340,77473,67642,55891,25224
0500000US26055,"Grand Traverse County, Michigan",5163,1552,8750,3162,15863,38831,37682,36366,13570,12252,10016,4338
0500000US27137,"St. Louis County, Minnesota",10672,3136,18594,12206,37453,83382,81323,75074,28603,25605,20802,9679
0500000US31153,"Sarpy County, Nebraska",14171,3931,24908,7600,37648,69925,67209,64023,16720,14567,12154,5019
0500000US33011,"Hillsborough County, New Hampshire",23576,7746,42170,17653,77878,172622,167413,160140,51371,43724,35763,16086
0500000US34017,"Hudson County, New Jersey",35372,10168,68414,25605,156202,278155,271550,262500,64763,58132,46557,21250
0500000US37025,"Cabarrus County, North Carolina",14394,4788,25263,8268,42337,86134,82520,78641,21713,19452,16154,6633
0500000US38015,"Burleigh County, North Dakota",5793,1591,10256,4466,18109,37814,36812,34754,11208,10165,8396,4024
0500000US39085,"Lake County, Ohio",12429,4105,22196,8312,39154,98368,95192,92229,35648,31696,26121,12077
0500000US39153,"Summit County, Ohio",30658,10296,55677,22813,101213,230546,222886,212821,75466,66818,54498,24597
0500000US40037,"Creek County, Oklahoma",4643,1443,8271,2594,12735,28859,27960,26706,9098,8222,6869,2964
0500000US41039,"Lane County, Oregon",19761,5384,33775,23506,76448,162566,158946,148624,54896,47923,39534,16095
0500000US42001,"Adams County, Pennsylvania",5450,1785,10135,4507,17302,43108,42075,39611,14961,13544,11301,5016
