id,Geographic Area Name,5 to 14 years,15 to 17 years,Under 18 years,18 to 24 years,15 to 44 years,16 years and over,18 years and over,21 years and over,60 years and over,62 years and over,65 years and over,75 years and over
0500000US47179,"Washington County, Tennessee",6732,2221,12392,7811,25678,51947,50597,47815,13922,12520,10521,4058
0500000US49005,"Cache County, Utah",10774,3233,19556,11317,31606,46185,44080,40235,8115,6933,5473,2193
0500000US53015,"Cowlitz County, Washington",6810,2329,12666,3983,19103,42289,40927,39008,13701,12369,9759,3661
0500000US54081,"Raleigh County, West Virginia",4682,1378,8191,3282,14354,30280,29239,27490,9992,8611,7038,2378
0500000US72013,"Arecibo Municipio, Puerto Rico",4297,1674,7665,3997,15285,32576,31530,30150,10259,9055,7679,3447
0500000US01103,"Morgan County, Alabama",8209,2752,14815,5768,22425,46536,44401,41989,12815,10890,8649,3412
0500000US06031,"Kings County, California",12150,3217,20914,9752,41230,64662,62677,58614,9771,8846,7012,2773
0500000US06089,"Shasta County, California",11381,3304,19980,7557,32017,70757,68699,65322,23764,20666,16941,6703
0500000US12073,"Leon County, Florida",14947,4680,27578,29353,70083,114286,110830,96087,24868,21150,17206,6133
0500000US12103,"Pinellas County, Florida",44684,13998,80425,31577,156967,397225,387342,375130,145587,129501,107554,47287
0500000US17093,"Kendall County, Illinois",10493,2367,17787,6025,26446,45377,44614,40547,9410,8146,6145,2311
0500000US26017,"Bay County, Michigan",5631,2069,10538,4212,18554,42443,40753,38653,13792,11526,9439,3669
0500000US26159,"Van Buren County, Michigan",5014,1756,9092,3031,13304,29971,28713,26911,8983,8306,6455,2322
0500000US32031,"Washoe County, Nevada",29230,8486,51832,21138,94852,188262,182822,173738,53133,46725,36401,13019
0500000US33013,"Merrimack County, New Hampshire",7908,2513,13807,6948,28386,61576,60205,57121,17982,15951,12584,4645
0500000US39045,"Fairfield County, Ohio",10668,3716,19133,7189,30356,61187,58818,55595,15414,13103,11061,4213
0500000US45041,"Florence County, South Carolina",9208,2760,16185,5454,23767,49127,47371,45333,14083,12831,9887,3482
0500000US48005,"Angelina County, Texas",6532,2054,11958,4260,15869,32313,31039,29055,9396,8420,6159,2356
