id,Geographic Area Name,Total,Below poverty level,Percent below poverty level
0500000US27141,"Sherburne County, Minnesota",93818,7438,7.9
0500000US34009,"Cape May County, New Jersey",90737,8487,9.4
0500000US35045,"San Juan County, New Mexico",122966,30022,24.4
0500000US36089,"St. Lawrence County, New York",96405,13708,14.2
0500000US37081,"Guilford County, North Carolina",514062,80039,15.6
0500000US39095,"Lucas County, Ohio",421106,78373,18.6
0500000US40143,"Tulsa County, Oklahoma",639072,91225,14.3
0500000US44003,"Kent County, Rhode Island",162558,11565,7.1
0500000US48039,"Brazoria County, Texas",357781,35451,9.9
0500000US48491,"Williamson County, Texas",562076,38299,6.8
0500000US53045,"Mason County, Washington",64467,8837,13.7
0500000US55105,"Rock County, Wisconsin",158918,17350,10.9
0500000US72097,"Mayagüez Municipio, Puerto Rico",71123,39726,55.9
0500000US06057,"Nevada County, California",98694,10188,10.3
0500000US12019,"Clay County, Florida",213559,19089,8.9
0500000US12055,"Highlands County, Florida",104015,23301,22.4
0500000US12131,"Walton County, Florida",69591,6411,9.2
0500000US15009,"Maui County, Hawaii",164915,11698,7.1
0500000US23005,"Cumberland County, Maine",286082,23332,8.2
0500000US33015,"Rockingham County, New Hampshire",306113,16591,5.4
0500000US35031,"McKinley County, New Mexico",71818,24013,33.4
0500000US36011,"Cayuga County, New York",72303,9180,12.7
0500000US36047,"Kings County, New York",2557510,485693,19.0
0500000US37089,"Henderson County, North Carolina",114872,9458,8.2
0500000US39057,"Greene County, Ohio",157475,20029,12.7
0500000US39139,"Richland County, Ohio",114034,15824,13.9
0500000US41033,"Josephine County, Oregon",86480,14175,16.4
0500000US42007,"Beaver County, Pennsylvania",162376,17828,11.0
0500000US42037,"Columbia County, Pennsylvania",61149,7046,11.5
0500000US45031,"Darlington County, South Carolina",65275,16210,24.8
0500000US45079,"Richland County, South Carolina",385031,64347,16.7
0500000US48157,"Fort Bend County, Texas",781373,62297,8.0
0500000US48181,"Grayson County, Texas",131708,15244,11.6
0500000US48451,"Tom Green County, Texas",111904,18211,16.3
0500000US51019,"Bedford County, Virginia",78053,9793,12.5
0500000US53021,"Franklin County, Washington",91007,14386,15.8
0500000US53025,"Grant County, Washington",96465,11290,11.7
0500000US55109,"St. Croix County, Wisconsin",88903,3765,4.2
0500000US05045,"Faulkner County, Arkansas",119579,21658,18.1
0500000US06019,"Fresno County, California",975927,209799,21.5
0500000US08013,"Boulder County, Colorado",313578,30991,9.9
0500000US08041,"El Paso County, Colorado",694772,68495,9.9
0500000US12015,"Charlotte County, Florida",181377,19790,10.9
0500000US12057,"Hillsborough County, Florida",1416105,209002,14.8
0500000US18043,"Floyd County, Indiana",76148,6419,8.4
0500000US21093,"Hardin County, Kentucky",106895,15177,14.2
0500000US22071,"Orleans Parish, Louisiana",374022,89130,23.8
0500000US23003,"Aroostook County, Maine",65029,9949,15.3
0500000US24005,"Baltimore County, Maryland",808289,81484,10.1
0500000US24043,"Washington County, Maryland",141861,15448,10.9
0500000US26125,"Oakland County, Michigan",1248637,100974,8.1
0500000US34001,"Atlantic County, New Jersey",259787,33538,12.9
0500000US34023,"Middlesex County, New Jersey",800115,66769,8.3
0500000US34037,"Sussex County, New Jersey",139077,6719,4.8
0500000US35005,"Chaves County, New Mexico",62731,10620,16.9
0500000US35013,"Doña Ana County, New Mexico",211752,54801,25.9
0500000US36085,"Richmond County, New York",469457,53741,11.4
0500000US42071,"Lancaster County, Pennsylvania",532563,40599,7.6
0500000US42107,"Schuylkill County, Pennsylvania",134783,17492,13.0
0500000US42129,"Westmoreland County, Pennsylvania",342962,31013,9.0
0500000US45083,"Spartanburg County, South Carolina",306356,40970,13.4
0500000US48339,"Montgomery County, Texas",587586,54201,9.2
0500000US51087,"Henrico County, Virginia",326230,29261,9.0
0500000US51760,"Richmond city, Virginia",219006,47857,21.9
0500000US55035,"Eau Claire County, Wisconsin",100959,13489,13.4
0500000US55063,"La Crosse County, Wisconsin",113094,12205,10.8
0500000US01003,"Baldwin County, Alabama",214740,19205,8.9
0500000US05125,"Saline County, Arkansas",119734,12727,10.6
0500000US12009,"Brevard County, Florida",590143,62483,10.6
0500000US17091,"Kankakee County, Illinois",105667,18214,17.2
0500000US18005,"Bartholomew County, Indiana",81615,8665,10.6
0500000US18057,"Hamilton County, Indiana",328461,14041,4.3
0500000US19153,"Polk County, Iowa",477975,46611,9.8
0500000US20209,"Wyandotte County, Kansas",163023,28860,17.7
0500000US22045,"Iberia Parish, Louisiana",69861,17167,24.6
0500000US22103,"St. Tammany Parish, Louisiana",255974,32491,12.7
0500000US24001,"Allegany County, Maryland",62081,10304,16.6
0500000US25005,"Bristol County, Massachusetts",549525,58275,10.6
0500000US26021,"Berrien County, Michigan",151150,22950,15.2
0500000US26093,"Livingston County, Michigan",189141,9056,4.8
0500000US26103,"Marquette County, Michigan",63146,9476,15.0
0500000US29019,"Boone County, Missouri",170672,31162,18.3
0500000US34031,"Passaic County, New Jersey",496838,67786,13.6
0500000US35043,"Sandoval County, New Mexico",142955,18838,13.2
0500000US36093,"Schenectady County, New York",151328,16241,10.7
0500000US37031,"Carteret County, North Carolina",67574,5391,8.0
0500000US37155,"Robeson County, North Carolina",127513,30263,23.7
0500000US39133,"Portage County, Ohio",154886,17290,11.2
0500000US41047,"Marion County, Oregon",337005,49333,14.6
0500000US42027,"Centre County, Pennsylvania",144003,27457,19.1
0500000US42125,"Washington County, Pennsylvania",201690,17220,8.5
0500000US45059,"Laurens County, South Carolina",64490,13282,20.6
0500000US47001,"Anderson County, Tennessee",75386,14830,19.7
0500000US51085,"Hanover County, Virginia",105381,4824,4.6
0500000US53035,"Kitsap County, Washington",261589,23646,9.0
0500000US55055,"Jefferson County, Wisconsin",82314,6716,8.2
0500000US55087,"Outagamie County, Wisconsin",184316,13473,7.3
0500000US01049,"DeKalb County, Alabama",70157,15931,22.7
0500000US06007,"Butte County, California",226193,42430,18.8
0500000US06017,"El Dorado County, California",189589,15055,7.9
0500000US06025,"Imperial County, California",171991,39815,23.1
0500000US06029,"Kern County, California",866580,178239,20.6
0500000US06041,"Marin County, California",253650,15286,6.0
