id,Geographic Area Name,total_households,smartphone_households,smartphone_ownership
0500000US22015,"Bossier Parish, Louisiana",50099,42856,0.8554262560130941
0500000US24009,"Calvert County, Maryland",32145,28510,0.8869186498677866
0500000US26025,"Calhoun County, Michigan",53914,42835,0.794506065214972
0500000US34025,"Monmouth County, New Jersey",236327,204567,0.8656099387712788
0500000US37119,"Mecklenburg County, North Carolina",418135,378465,0.9051263347961783
0500000US39055,"Geauga County, Ohio",35387,28334,0.8006895187498234
0500000US39119,"Muskingum County, Ohio",34471,26186,0.7596530416872154
0500000US41043,"Linn County, Oregon",48464,40738,0.8405827005612413
0500000US42017,"Bucks County, Pennsylvania",239962,205377,0.8558730132270943
0500000US42095,"Northampton County, Pennsylvania",114996,93372,0.8119586768235417
0500000US45075,"Orangeburg County, South Carolina",33561,26410,0.7869253001996365
0500000US48029,"Bexar County, Texas",644193,567142,0.8803914354859491
0500000US48091,"Comal County, Texas",53182,47188,0.8872926930164341
0500000US48361,"Orange County, Texas",30047,25486,0.8482044796485506
0500000US48497,"Wise County, Texas",22864,20322,0.8888208537438769
0500000US53009,"Clallam County, Washington",33265,25338,0.7617014880505035
0500000US72021,"Bayamón Municipio, Puerto Rico",64932,51987,0.8006375900942524
0500000US72137,"Toa Baja Municipio, Puerto Rico",26085,22146,0.8489936745255894
0500000US04025,"Yavapai County, Arizona",100836,80795,0.8012515371494308
0500000US13097,"Douglas County, Georgia",49534,45939,0.9274235878386563
0500000US13135,"Gwinnett County, Georgia",297658,272511,0.9155171371170941
0500000US15007,"Kauai County, Hawaii",22685,18783,0.8279920652413489
0500000US16027,"Canyon County, Idaho",74520,64197,0.8614734299516909
0500000US18019,"Clark County, Indiana",45905,38462,0.8378607994771812
0500000US19013,"Black Hawk County, Iowa",53386,44320,0.8301801970554078
0500000US21015,"Boone County, Kentucky",47684,42885,0.8993582753124738
0500000US22051,"Jefferson Parish, Louisiana",167596,137521,0.8205506097997566
0500000US23031,"York County, Maine",88416,70170,0.7936346362649295
0500000US24027,"Howard County, Maryland",116903,108054,0.9243047654893373
0500000US24031,"Montgomery County, Maryland",368334,334006,0.9068019786389527
0500000US27053,"Hennepin County, Minnesota",508964,447911,0.8800445611084478
0500000US28067,"Jones County, Mississippi",25098,21184,0.8440513188301857
0500000US29510,"St. Louis city, Missouri",144295,114924,0.7964517135035865
0500000US34013,"Essex County, New Jersey",289921,249697,0.8612587566957896
0500000US34021,"Mercer County, New Jersey",132980,114081,0.8578808843435103
0500000US36113,"Warren County, New York",28007,19092,0.6816867211768487
0500000US36117,"Wayne County, New York",35927,28452,0.7919392100648537
0500000US37129,"New Hanover County, North Carolina",98151,87124,0.887652698393292
0500000US39081,"Jefferson County, Ohio",27292,19346,0.7088524109629195
0500000US42085,"Mercer County, Pennsylvania",46809,34929,0.746202653335897
0500000US42111,"Somerset County, Pennsylvania",28796,19315,0.6707528823447702
0500000US51800,"Suffolk city, Virginia",34890,29448,0.84402407566638
0500000US53033,"King County, Washington",897476,817680,0.9110884302198611
0500000US54033,"Harrison County, West Virginia",26878,21123,0.7858843663963092
0500000US06111,"Ventura County, California",271980,237189,0.8720825060666225
0500000US09005,"Litchfield County, Connecticut",73598,59092,0.8029022527786082
0500000US09007,"Middlesex County, Connecticut",66983,57216,0.8541868832390308
0500000US12023,"Columbia County, Florida",25678,21567,0.8399018615156943
0500000US13047,"Catoosa County, Georgia",24722,19821,0.8017555213979451
0500000US13247,"Rockdale County, Georgia",31460,28531,0.9068976478067388
0500000US13297,"Walton County, Georgia",32624,28252,0.8659882295242766
0500000US16005,"Bannock County, Idaho",30635,26564,0.8671127795005712
0500000US24003,"Anne Arundel County, Maryland",212687,188432,0.8859591794514945
0500000US28033,"DeSoto County, Mississippi",63075,56154,0.8902734839476814
0500000US29097,"Jasper County, Missouri",47846,38661,0.808029929356686
0500000US30029,"Flathead County, Montana",38372,30258,0.7885437298029814
0500000US35001,"Bernalillo County, New Mexico",270655,231122,0.853935822356875
0500000US36005,"Bronx County, New York",507370,419934,0.8276681711571438
0500000US37019,"Brunswick County, North Carolina",56752,47542,0.8377149703975191
0500000US37021,"Buncombe County, North Carolina",108411,88618,0.8174262759314092
0500000US37127,"Nash County, North Carolina",37767,29899,0.7916699764344534
0500000US37193,"Wilkes County, North Carolina",30123,22053,0.7320983965740464
0500000US39035,"Cuyahoga County, Ohio",542122,437908,0.8077665174997509
0500000US39061,"Hamilton County, Ohio",344562,288125,0.8362065462819464
0500000US39165,"Warren County, Ohio",83540,75559,0.9044649269810869
0500000US40017,"Canadian County, Oklahoma",45344,39765,0.876962773465067
0500000US42029,"Chester County, Pennsylvania",192746,167691,0.8700102725867204
0500000US42077,"Lehigh County, Pennsylvania",138586,114110,0.8233876437735413
0500000US45063,"Lexington County, South Carolina",115566,99985,0.8651766090372601
0500000US47119,"Maury County, Tennessee",34361,28908,0.8413026396205
0500000US47189,"Wilson County, Tennessee",52489,45931,0.8750595362837928
0500000US48203,"Harrison County, Texas",22928,18193,0.7934839497557572
0500000US51041,"Chesterfield County, Virginia",126748,112426,0.8870041341875217
0500000US55131,"Washington County, Wisconsin",55488,46217,0.8329188292964245
0500000US09003,"Hartford County, Connecticut",348049,293271,0.842614114679255
0500000US12033,"Escambia County, Florida",118820,99780,0.8397576165628682
0500000US18039,"Elkhart County, Indiana",73660,61103,0.8295275590551181
0500000US18109,"Morgan County, Indiana",25968,21024,0.8096118299445472
0500000US19049,"Dallas County, Iowa",35492,32489,0.9153893835230474
0500000US23011,"Kennebec County, Maine",54299,42162,0.7764783881839444
0500000US26049,"Genesee County, Michigan",169469,133353,0.7868872773191558
0500000US26087,"Lapeer County, Michigan",33560,26521,0.7902562574493445
0500000US26145,"Saginaw County, Michigan",78740,61328,0.7788671577343155
0500000US30013,"Cascade County, Montana",35558,27392,0.7703470386410934
0500000US32003,"Clark County, Nevada",808605,708909,0.8767061791604058
0500000US36007,"Broome County, New York",75539,58901,0.779742914256212
0500000US36027,"Dutchess County, New York",108071,91248,0.8443338175828853
0500000US37023,"Burke County, North Carolina",36157,27568,0.7624526371103797
0500000US37035,"Catawba County, North Carolina",62861,51621,0.8211927904424047
0500000US37125,"Moore County, North Carolina",40756,31884,0.7823142604769849
0500000US39009,"Athens County, Ohio",22533,17323,0.7687835618870101
0500000US39023,"Clark County, Ohio",55327,44032,0.7958501274242232
0500000US39099,"Mahoning County, Ohio",97365,74841,0.7686643044215067
0500000US45051,"Horry County, South Carolina",131180,110105,0.8393428876353103
0500000US47093,"Knox County, Tennessee",185416,159886,0.862309617293006
0500000US51061,"Fauquier County, Virginia",25134,22382,0.8905068831065489
0500000US72127,"San Juan Municipio, Puerto Rico",147267,81283,0.5519430693909702
0500000US01069,"Houston County, Alabama",38861,27072,0.6966367309127403
0500000US06083,"Santa Barbara County, California",146224,128538,0.8790485829959515
0500000US10003,"New Castle County, Delaware",206351,181305,0.878624285804285
0500000US12113,"Santa Rosa County, Florida",63891,56805,0.8890923604263511
0500000US13295,"Walker County, Georgia",26895,20500,0.7622234616099647
0500000US20091,"Johnson County, Kansas",231184,210692,0.9113606477956953
0500000US25017,"Middlesex County, Massachusetts",612224,528593,0.8633980373196738
0500000US25025,"Suffolk County, Massachusetts",315049,275539,0.87459093664795
0500000US26055,"Grand Traverse County, Michigan",36782,30999,0.8427763580011962
0500000US27137,"St. Louis County, Minnesota",84370,65671,0.7783690885385801
0500000US31153,"Sarpy County, Nebraska",66273,59507,0.8979071416715706
0500000US33011,"Hillsborough County, New Hampshire",161649,139274,0.8615828121423579
0500000US34017,"Hudson County, New Jersey",263924,236019,0.8942688046558858
0500000US37025,"Cabarrus County, North Carolina",73751,65570,0.8890726905397893
0500000US38015,"Burleigh County, North Dakota",40736,33864,0.8313040062843676
0500000US39085,"Lake County, Ohio",96577,80163,0.8300423496277581
0500000US39153,"Summit County, Ohio",226243,185551,0.8201402916333324
