id,Geographic Area Name,Population 16 years and over,16 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 years and over,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races,Hispanic or Latino origin (of any race),"White alone, not Hispanic or Latino",Population 20 to 64 years,Male,Female,With own children under 18 years,With own children under 6 years only,With own children under 6 years and 6 to 17 years,With own children 6 to 17 years only,Below poverty level,At or above the poverty level,With any disability,Population 25 to 64 years,Less than high school graduate,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree or higher
0500000US05125,"Saline County, Arkansas",96973,6770,6649,7171,8097,16141,15601,8175,6576,12750,9043,86812,N,N,N,N,N,N,N,83436,68410,33675,34735,14197,2752,3072,8373,5914,61947,9854,61761,5331,15340,23632,17458
0500000US12009,"Brevard County, Florida",500565,27130,29728,34794,32907,62355,74409,47826,50148,76295,64973,420631,47191,N,N,N,N,N,48696,381600,332167,162994,169173,45244,11624,7998,25622,34108,295080,43057,302439,20428,82167,101902,97942
0500000US17091,"Kankakee County, Illinois",87441,6613,8104,7038,6817,12856,13184,7203,7282,10320,8024,71114,11913,N,N,N,N,N,N,65767,62484,31082,31402,10920,1820,2833,6267,9177,51694,7672,54380,6486,17290,18887,11717
0500000US18005,"Bartholomew County, Indiana",65756,4356,4472,6797,5500,10198,10752,5533,4599,7589,5960,56889,N,N,N,N,N,N,N,54637,47851,24801,23050,8639,2435,2108,4096,4556,43011,7235,43379,2924,11633,12331,16491
0500000US18057,"Hamilton County, Indiana",251586,17751,17178,18157,19956,51017,48172,20791,17256,24820,16488,219971,N,N,N,N,N,N,N,212908,192527,93852,98675,45639,9898,8313,27428,6617,185309,10700,175349,4825,21622,38731,110171
0500000US19153,"Polk County, Iowa",379522,25679,30328,38484,36384,67101,60221,33404,24873,37623,25425,325724,22124,N,N,N,N,N,26387,304859,290795,145175,145620,54947,13713,12761,28473,25969,261704,27644,260467,20617,56838,76771,106241
0500000US20209,"Wyandotte County, Kansas",123484,8170,10090,12213,11652,22722,18834,10733,8726,12322,8022,74150,26600,N,N,N,N,N,31360,55160,94970,47624,47346,18143,4086,4519,9538,14829,79530,14263,84880,19753,24796,24925,15406
0500000US22045,"Iberia Parish, Louisiana",54815,4293,4842,3936,4316,8301,8954,4932,4860,6346,4035,35733,16241,N,N,N,N,N,N,33984,40141,18921,21220,N,N,N,N,7375,32317,7133,35299,6745,14067,9384,5103
0500000US22103,"St. Tammany Parish, Louisiana",203712,13482,13561,14896,14279,32660,34614,19152,17424,26701,16943,171463,N,N,N,N,N,N,N,162520,146586,71010,75576,29467,5103,7095,17269,15602,129845,15320,133025,12402,34716,39868,46039
0500000US24001,"Allegany County, Maryland",59916,4410,5998,4186,4221,7907,9394,5416,4237,7659,6488,52579,N,N,N,N,N,N,N,51900,41359,23316,18043,5775,1458,737,3580,5850,29288,5945,35361,2593,14397,11899,6472
