Total Population,id,Geographic Area Name,5 to 14 years,15 to 17 years,Under 18 years,18 to 24 years,15 to 44 years,16 years and over,18 years and over,21 years and over,60 years and over,62 years and over,65 years and over,75 years and over,Male - 5 to 14 years,Male - 15 to 17 years,Male - Under 18 years,Male - 18 to 24 years,Male - 15 to 44 years,Male - 16 years and over,Male - 18 years and over,Male - 21 years and over,Male - 60 years and over,Male - 62 years and over,Male - 65 years and over,Male - 75 years and over,Female - Male - 5 to 14 years,Female - Male - 15 to 17 years,Female - Male - Under 18 years,Female - Male - 18 to 24 years,Female - Male - 15 to 44 years,Female - Male - 16 years and over,Female - Male - 18 years and over,Female - Male - 21 years and over,Female - Male - 60 years and over,Female - Male - 62 years and over,Female - Male - 65 years and over,Female - Male - 75 years and over
113664,0500000US42081,"Lycoming County, Pennsylvania",12827,4203,23317,10366,41715,93463,90347,83997,30539,26998,21901,9689,6529,1715,11172,5622,20710,44682,43497,39547,13876,12113,9697,3850,6298,2488,12145,4744,21005,48781,46850,44450,16663,14885,12204,5839
221091,0500000US45015,"Berkeley County, South Carolina",30113,8253,52742,20425,90648,172810,168349,158646,44406,38253,30809,11014,15479,4396,27780,11832,46973,85548,83008,76933,20303,18043,14035,4896,14634,3857,24962,8593,43675,87262,85341,81713,24103,20210,16774,6118
106512,0500000US45085,"Sumter County, South Carolina",13968,4102,25144,10429,41657,84264,81368,77666,23793,21577,17568,7300,7010,2005,13127,5690,20999,39850,38403,36298,10705,9564,7300,2875,6958,2097,12017,4739,20658,44414,42965,41368,13088,12013,10268,4425
71012,0500000US47147,"Robertson County, Tennessee",9634,2875,16931,5772,26393,56014,54081,51445,14932,12909,10130,3848,4847,1368,8460,3145,13232,27320,26498,25189,6956,5952,4701,1679,4787,1507,8471,2627,13161,28694,27583,26256,7976,6957,5429,2169
1005146,0500000US48085,"Collin County, Texas",150912,47274,260477,82326,418097,774988,744669,708842,159747,140281,110445,40334,76728,24288,132804,42174,206820,377006,361905,342176,72207,61013,48384,16919,74184,22986,127673,40152,211277,397982,382764,366666,87540,79268,62061,23415
69907,0500000US49045,"Tooele County, Utah",13354,3994,22890,6427,30354,49860,47017,44149,10681,8491,6359,2525,6864,2191,11950,3288,15561,N,23766,22248,5154,4269,3163,1359,6490,1803,10940,3139,14793,N,23251,21901,5527,4222,3196,1166
79604,0500000US53041,"Lewis County, Washington",9299,2796,16999,5816,27459,64562,62605,60116,23303,20546,16580,6688,4663,1510,8960,3118,14103,31892,31009,29536,10885,9949,7982,3022,4636,1286,8039,2698,13356,32670,31596,30580,12418,10597,8598,3666
891299,0500000US53053,"Pierce County, Washington",117481,32467,209271,79197,369894,704400,682028,650636,176887,155612,123257,47640,60268,16549,107420,41998,189583,346977,336358,319888,82272,71066,55313,19569,57213,15918,101851,37199,180311,357423,345670,330748,94615,84546,67944,28071
106420,0500000US54061,"Monongalia County, West Virginia",10053,2558,17697,22489,55941,90787,88723,78583,19179,16592,13176,5283,5337,1384,9458,11984,29957,46693,45665,40494,9169,8012,6146,2316,4716,1174,8239,10505,25984,44094,43058,38089,10010,8580,7030,2967
263378,0500000US55009,"Brown County, Wisconsin",35595,10274,62704,24701,102005,207973,200674,188843,55808,48570,39372,16334,17928,5259,32043,12260,52193,103016,98959,92592,26408,22613,17727,6885,17667,5015,30661,12441,49812,104957,101715,96251,29400,25957,21645,9449
78041,0500000US06115,"Yuba County, California",11754,3587,21261,7192,32530,59048,56780,54188,14990,12898,9383,3587,6204,1901,11356,3927,16911,29719,28463,27370,6912,5841,4222,1459,5550,1686,9905,3265,15619,29329,28317,26818,8078,7057,5161,2128
289195,0500000US13051,"Chatham County, Georgia",33605,9748,61165,32134,124249,234490,228030,214308,60778,52986,44131,17720,17384,4770,31248,15664,60887,110605,107752,101843,25846,23175,18808,7017,16221,4978,29917,16470,63362,123885,120278,112465,34932,29811,25323,10703
289615,0500000US13063,"Clayton County, Georgia",46024,12665,80557,29840,125223,218829,209058,197219,41115,34816,26880,8760,23453,6182,40366,14740,58205,99707,94751,88568,17568,14922,11264,3154,22571,6483,40191,15100,67018,119122,114307,108651,23547,19894,15616,5606
113459,0500000US13113,"Fayette County, Georgia",15831,5481,26094,10450,38319,90842,87365,82345,27937,24874,20284,7599,8110,3181,13833,5135,19017,43653,41547,38424,12679,11264,9045,3234,7721,2300,12261,5315,19302,47189,45818,43921,15258,13610,11239,4365
164044,0500000US13223,"Paulding County, Georgia",24314,8244,43620,14064,68394,127381,120424,114423,24743,20770,16871,6369,12491,3755,21897,6648,32862,61151,58096,54411,10770,9478,7647,3031,11823,4489,21723,7416,35532,66230,62328,60012,13973,11292,9224,3338
928589,0500000US17043,"DuPage County, Illinois",117788,37642,210579,80095,355916,743427,718010,684012,207758,180086,143761,58532,60319,19776,108381,40774,180659,361690,348335,330930,94918,81208,63642,22925,57469,17866,102198,39321,175257,381737,369675,353082,112840,98878,80119,35607
534216,0500000US17089,"Kane County, Illinois",76902,25262,135996,48260,209315,416589,398220,377055,102960,89754,73081,28471,39263,13077,69860,25008,106835,206020,196464,184737,47771,40492,32988,11953,37639,12185,66136,23252,102480,210569,201756,192318,55189,49262,40093,16518
484411,0500000US18089,"Lake County, Indiana",63718,20382,113030,42336,182908,385577,371381,353226,113549,100700,79924,33817,32557,10301,57884,21703,90699,183761,176800,167918,50384,44305,34435,13207,31161,10081,55146,20633,92209,201816,194581,185308,63165,56395,45489,20610
101104,0500000US21059,"Daviess County, Kentucky",14108,4031,24701,8319,37813,78526,76403,72777,23802,20692,17052,7251,7148,2142,12803,4278,18930,37829,36672,34630,10601,9082,7329,2803,6960,1889,11898,4041,18883,40697,39731,38147,13201,11610,9723,4448
