id,Geographic Area Name,Less than 10 minutes,10 to 14 minutes,15 to 19 minutes,20 to 24 minutes,25 to 29 minutes,30 to 34 minutes,35 to 44 minutes,45 to 59 minutes,60 or more minutes,Mean travel time to work (minutes)
0500000US08123,"Weld County, Colorado",11.5,12.5,14.8,12.6,5.6,14.8,6.9,10.6,10.7,28.1
0500000US12005,"Bay County, Florida",12.8,15.4,18.9,13.7,8.5,14.3,4.2,5.7,6.5,23.8
0500000US13015,"Bartow County, Georgia",8.1,11.7,16.7,10.5,7.6,15.4,6.8,9.8,13.4,30.4
0500000US20015,"Butler County, Kansas",20.5,10.3,13.9,11.6,10.1,14.8,10.4,4.2,4.1,24.2
0500000US20103,"Leavenworth County, Kansas",15.1,14.5,13.5,13.5,5.2,15.7,8.5,9.2,4.8,26.0
0500000US20161,"Riley County, Kansas",32.3,27.4,18.3,8.3,4.5,4.7,1.4,0.5,2.6,14.7
0500000US25015,"Hampshire County, Massachusetts",15.3,15.1,16.6,14.3,7.8,11.0,8.6,6.6,4.6,23.3
0500000US29031,"Cape Girardeau County, Missouri",18.4,26.9,19.7,12.6,3.5,5.5,3.4,3.7,6.3,19.8
0500000US36001,"Albany County, New York",12.4,16.5,20.0,19.3,8.8,12.2,4.0,3.6,3.2,21.2
0500000US36029,"Erie County, New York",13.6,16.4,18.7,17.8,8.5,12.8,5.2,3.8,3.2,21.1
0500000US37045,"Cleveland County, North Carolina",12.4,14.1,16.8,15.4,2.6,13.2,10.1,11.7,3.6,24.3
0500000US39109,"Miami County, Ohio",14.8,19.9,15.6,14.1,7.8,11.8,6.7,5.1,4.3,22.6
0500000US39145,"Scioto County, Ohio",17.9,11.6,10.6,13.2,9.8,13.7,7.2,6.2,9.9,26.6
0500000US41005,"Clackamas County, Oregon",9.9,9.3,13.2,13.4,6.8,16.7,10.6,11.8,8.1,28.5
0500000US45077,"Pickens County, South Carolina",14.5,10.6,12.8,13.2,9.7,13.6,8.3,10.1,7.2,27.0
0500000US47163,"Sullivan County, Tennessee",12.8,15.9,23.3,14.9,8.1,11.1,5.8,4.8,3.2,22.1
0500000US53027,"Grays Harbor County, Washington",24.6,15.7,10.5,6.9,4.3,10.1,9.0,7.3,11.5,26.7
0500000US72139,"Trujillo Alto Municipio, Puerto Rico",5.6,6.2,8.9,14.7,4.1,27.1,6.8,8.0,18.6,35.0
0500000US05031,"Craighead County, Arkansas",17.1,23.7,24.9,15.4,3.3,7.2,3.1,1.2,4.0,17.8
0500000US06071,"San Bernardino County, California",10.0,11.9,14.3,14.5,5.5,12.9,6.6,8.3,16.1,31.7
0500000US12099,"Palm Beach County, Florida",8.6,12.2,16.8,16.3,7.0,17.8,7.4,6.8,7.0,26.5
0500000US12107,"Putnam County, Florida",13.4,16.8,7.4,6.6,7.6,4.1,5.9,16.6,21.5,33.7
0500000US13117,"Forsyth County, Georgia",5.1,8.4,11.5,13.0,7.2,15.4,11.0,10.8,17.6,34.3
0500000US13121,"Fulton County, Georgia",7.1,10.8,15.2,16.2,6.6,15.8,7.9,9.4,11.0,29.4
0500000US17097,"Lake County, Illinois",8.6,11.9,12.1,12.3,7.4,14.7,9.3,11.1,12.7,30.9
0500000US20173,"Sedgwick County, Kansas",13.4,18.5,22.6,21.0,7.3,10.1,2.2,2.0,3.0,19.8
0500000US26005,"Allegan County, Michigan",12.3,12.6,13.6,23.1,6.0,14.5,7.6,5.2,5.1,24.4
0500000US26081,"Kent County, Michigan",13.3,16.4,21.7,17.2,8.4,10.6,4.4,4.4,3.6,21.6
0500000US29037,"Cass County, Missouri",11.7,12.1,7.6,8.8,10.3,14.3,15.2,13.7,6.4,29.0
0500000US29189,"St. Louis County, Missouri",9.3,11.9,16.1,19.6,8.8,17.2,8.2,5.9,3.1,23.9
0500000US34005,"Burlington County, New Jersey",10.5,11.5,12.9,13.1,6.9,12.8,10.4,9.3,12.6,30.2
0500000US34007,"Camden County, New Jersey",8.9,11.3,15.8,14.0,7.3,14.3,8.4,10.4,9.6,28.5
0500000US35035,"Otero County, New Mexico",28.9,21.4,16.6,7.9,3.9,7.4,4.6,3.6,5.7,20.0
0500000US37071,"Gaston County, North Carolina",9.0,12.2,14.8,13.0,7.4,15.2,8.9,10.9,8.5,27.9
0500000US37171,"Surry County, North Carolina",12.7,20.5,15.8,18.2,1.8,10.7,3.5,8.6,8.1,25.9
0500000US42091,"Montgomery County, Pennsylvania",10.9,12.0,12.3,12.1,6.0,14.2,9.9,12.5,10.1,29.0
0500000US46099,"Minnehaha County, South Dakota",16.1,21.6,25.9,18.5,4.9,6.3,2.7,1.6,2.5,17.5
0500000US47149,"Rutherford County, Tennessee",8.7,10.3,17.5,14.8,5.8,13.7,7.1,10.9,11.2,29.0
0500000US47187,"Williamson County, Tennessee",10.7,9.9,11.8,13.2,9.4,15.1,10.9,12.5,6.6,28.2
0500000US48183,"Gregg County, Texas",19.2,14.8,22.8,22.0,4.8,7.5,1.7,4.1,3.2,19.2
0500000US48347,"Nacogdoches County, Texas",20.9,24.2,14.5,10.1,7.9,6.1,6.2,2.8,7.4,25.0
0500000US48439,"Tarrant County, Texas",8.6,12.0,14.8,15.3,7.1,17.1,9.1,9.3,6.8,27.2
0500000US51069,"Frederick County, Virginia",4.9,12.6,22.6,12.1,4.8,13.2,4.5,6.5,18.8,32.3
0500000US55089,"Ozaukee County, Wisconsin",14.4,14.9,14.4,11.5,9.1,13.9,9.8,7.9,4.1,24.4
0500000US55133,"Waukesha County, Wisconsin",12.0,13.6,15.2,16.2,9.9,14.5,8.3,6.2,4.2,24.4
0500000US06065,"Riverside County, California",8.7,12.6,12.7,13.5,5.1,13.3,6.1,8.8,19.1,33.6
0500000US06085,"Santa Clara County, California",5.8,10.6,14.4,15.9,6.4,18.2,8.0,10.0,10.7,29.6
0500000US06099,"Stanislaus County, California",12.8,13.3,17.1,13.4,4.0,12.0,6.1,6.6,14.9,31.1
